threshold,signal_time,eow_time,vix_band,n,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.0075,10:30,15:55,high,2,0.003174785383536105,0.0009589144519267183,4.682195098842611,0.13395355954928956,-0.00544071914479851,0.01179028991187072,1.0,0.002496730472000941,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,10:30,15:55,high,11,0.002069262493802429,0.0022524088715672936,3.0469455929297222,0.012315731137990399,0.0005560736242348648,0.0035824513633699933,0.8181818181818182,0.0008774795384732248,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,10:00,15:55,high,4,0.001565077314241159,0.0018295286569877296,1.7109076791593056,0.18562353900915213,-0.0013461110431794731,0.0044762656716617905,0.75,-0.000745434215430496,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,high,36,0.0010506335447342098,0.003821444676885127,1.6495859030840423,0.10797555818960908,-0.0002423573112515509,0.0023436244007199705,0.6944444444444444,0.00020345829879323476,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,11:00,15:55,high,19,0.0010642824646030415,0.0029264260322224523,1.5852441372194646,0.13032198200574616,-0.0003462097330520818,0.002474774662258165,0.7368421052631579,0.00019328957076263087,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,low,54,-0.000683924078297591,0.004651082243562403,-1.0805646472610553,0.2847834136836142,-0.001953425153151327,0.000585576996556145,0.4444444444444444,-0.0012001769451079785,NO_EDGE,NO_EDGE
0.0025,11:00,15:55,low,28,-0.0008132330579816359,0.0049717068568572624,-0.8655427567650545,0.39436692987967015,-0.0027410597220435193,0.0011145936060802477,0.4642857142857143,-0.001695301719235584,NO_EDGE,NO_EDGE
0.005,10:30,15:55,low,3,0.0022952149332752616,0.004723641859610157,0.8416025170569675,0.4886019613939212,-0.009438961946984788,0.01402939181353531,0.6666666666666666,-0.0017061611374407093,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,high,64,0.00045083808655891483,0.004318389894572629,0.8351966312732068,0.40676322837587453,-0.0006278636140331295,0.0015295397871509591,0.625,-0.00042485166657496576,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,11:00,15:55,high,52,-0.0005810156393053361,0.0051819994007988625,-0.8085225478949035,0.42254549150403914,-0.00202369348521829,0.0008616622066076178,0.5961538461538461,-0.0011819638597671501,NO_EDGE,NO_EDGE
0.005,11:00,15:55,low,4,0.0011763105461377876,0.004508398442248587,0.5218307836833945,0.637866549460526,-0.0059975574365026315,0.008350178528778207,0.5,-0.0018390766439466133,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,11:00,15:55,high,64,-0.00031923846203809475,0.0049211582784540195,-0.5189647541893465,0.6056036253892256,-0.001548507225037625,0.0009100303009614355,0.59375,-0.0006532775685321642,NO_EDGE,NO_EDGE
0.001,10:30,15:55,low,64,0.00025264593618141984,0.004141465206224202,0.48803198597775227,0.6272214473653277,-0.0007818612921981858,0.0012871531645610255,0.53125,-9.379479508480632e-06,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,high,24,-0.000709321914592248,0.008287051153748367,-0.41932328445665457,0.6788704841166511,-0.004208636718347068,0.002789992889162571,0.5833333333333334,-0.0036025118449492977,NO_EDGE,NO_EDGE
0.001,11:00,15:55,low,72,0.0001419788280829627,0.003818665801485855,0.3154846137621729,0.7533191860494718,-0.0007553636421394681,0.0010393212983053936,0.5416666666666666,-0.00020866815795530047,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,high,57,-0.0002342986742214557,0.006857384922843201,-0.25795783942109574,0.7973850921226664,-0.002053807806511499,0.0015852104580685877,0.6140350877192983,-0.0016735440660843454,NO_EDGE,NO_EDGE
0.0075,11:00,15:55,high,5,0.00017459937543380378,0.0027865340918534908,0.1401081269525409,0.8953464461019911,-0.003285339686188096,0.003634538437055704,0.6,-0.0006097262963880024,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,low,12,0.00011446667193914147,0.00622021537146394,0.0637476613692398,0.9503148393890338,-0.0038376696237571394,0.004066602967635422,0.4166666666666667,-0.0007284744692440115,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,low,24,-6.817608673839737e-06,0.005079778442197628,-0.006574957040707234,0.9948106781440734,-0.002151819922860895,0.0021381847055132156,0.5,-0.0007194368431495276,NO_EDGE,NO_EDGE
