threshold,signal_time,eow_time,vix_band,bond_direction,n,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.0075,10:30,15:55,,down,2,0.003174785383536105,0.0009589144519267183,4.682195098842611,0.13395355954928956,-0.00544071914479851,0.01179028991187072,1.0,0.002496730472000941,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.0075,11:00,15:55,,down,3,0.001965037912939153,0.0012890859684391172,2.6402781407440847,0.1184892967454113,-0.0012372291549486544,0.005167304980826961,1.0,0.000622432466077516,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,10:30,15:55,,up,6,0.0031444793707937437,0.00342693965485298,2.247594279708149,0.07450136746944006,-0.00045187323878181744,0.006740831980369305,0.8333333333333334,-0.0014484356894554073,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,11:00,15:55,,down,10,0.0012454116721258624,0.0018310911115874261,2.150814606413715,0.05995712436979272,-6.447200000970392e-05,0.002555295344261429,0.9,0.000622432466077516,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,10:30,15:55,,down,8,0.0013475820008612555,0.0019157057163289794,1.9896257820641032,0.08693921671743181,-0.0002539880576754041,0.002949152059397915,0.75,0.0007989390979398214,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0075,11:00,15:55,,up,2,-0.00251105843082422,0.0019217381553717442,-1.847896332211799,0.3157810836712966,-0.01977719071886274,0.0147550738572143,0.0,-0.00251105843082422,NO_EDGE,NO_EDGE
0.005,10:00,15:55,,up,5,0.0031090826431901418,0.0037987028850870637,1.8301300070427968,0.14120625178113086,-0.0016076299690952357,0.00782579525547552,0.8,-0.000745434215430496,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,,down,30,0.000886538445370888,0.004051839240700987,1.1984115750386726,0.24045908257887805,-0.0006264431922641408,0.002399520083005917,0.6666666666666666,0.0006568074013875713,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,,down,66,0.0005449852165247084,0.003826622292935928,1.1570206020016276,0.25149833130001126,-0.00039571595470058014,0.001485686387749997,0.6212121212121212,0.0003421567245555403,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,,up,57,-0.0008106271481017671,0.005631642425934547,-1.086734613817112,0.2818097352822099,-0.0023049030184333157,0.0006836487222297814,0.45614035087719296,-0.0019644393071269663,NO_EDGE,NO_EDGE
0.005,11:00,15:55,,up,13,0.0009594224839038703,0.003921431984119412,0.882138712224848,0.39502888571274397,-0.0014102751475816994,0.00332912011538944,0.5384615384615384,-0.000795178318051389,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,11:00,15:55,,down,43,-0.0006204786339747905,0.005154767965777242,-0.7893178752070327,0.43435969647847406,-0.0022068820558989047,0.0009659247879493236,0.6046511627906976,-0.0012143955116502468,NO_EDGE,NO_EDGE
0.0025,11:00,15:55,,up,36,-0.0006079763829031513,0.005092278646182881,-0.7163508815750498,0.4785276105816133,-0.002330955591649116,0.0011150028258428133,0.5,-0.0015793367544890136,NO_EDGE,NO_EDGE
0.0025,10:30,15:55,,up,30,0.00036876772137109197,0.004699933953791559,0.4297558252106555,0.6705497559038834,-0.0013862164593324367,0.002123751902074621,0.5666666666666667,-0.001174343571102525,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,,up,61,0.00020609158080219618,0.004629872070401717,0.34766116162423066,0.7293113557861489,-0.0009796737151778108,0.001391856876782203,0.5409836065573771,-0.0013094516275867552,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,,up,17,-0.000513443440032196,0.00730059666143305,-0.2899737698449546,0.7755606124218222,-0.00426706387941409,0.003240176999349698,0.47058823529411764,-0.004127362239925539,NO_EDGE,NO_EDGE
0.001,11:00,15:55,,down,72,-0.00010336564123774995,0.004322412382051696,-0.20291598135636096,0.8397810920131021,-0.0011190827544559536,0.0009123514719804537,0.5972222222222222,-0.00041452182946333525,NO_EDGE,NO_EDGE
0.0025,10:00,15:55,,down,18,-0.00017163771361197424,0.00820648261861201,-0.08873438000864879,0.9303299799784915,-0.004252625509852179,0.003909350082628231,0.6111111111111112,-0.001252759207671798,NO_EDGE,NO_EDGE
0.001,11:00,15:55,,up,63,2.6176953056937933e-05,0.0044399419498412735,0.04679636039332387,0.9628259408450911,-0.0010920079468739528,0.0011443618529878288,0.5396825396825397,-0.0015793367544890136,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,,down,53,-4.699408594542938e-06,0.006170709952009001,-0.0055442908918062845,0.9955975343467246,-0.001705557719592505,0.0016961589024034193,0.6226415094339622,-0.0014992796215844485,NO_EDGE,NO_EDGE
